Date,Cases
2020-03-14,8
2020-03-15,9
2020-03-16,6
2020-03-17,6
2020-03-18,23
2020-03-19,34
2020-03-20,40
2020-03-21,47
2020-03-22,71
2020-03-23,42
2020-03-24,101
2020-03-25,106
2020-03-26,132
2020-03-27,127
2020-03-28,172
2020-03-29,105
2020-03-30,267
2020-03-31,191
2020-04-01,86
2020-04-02,273
2020-04-03,236
2020-04-04,309
2020-04-05,183
2020-04-06,285
2020-04-07,351
2020-04-08,205
2020-04-09,225
2020-04-10,257
2020-04-11,404
2020-04-12,208
2020-04-13,296
2020-04-14,208
2020-04-15,99
2020-04-16,342
2020-04-17,394
2020-04-18,281
2020-04-19,353
2020-04-20,271
2020-04-21,187
2020-04-22,269
2020-04-23,388
2020-04-24,444
2020-04-25,490
2020-04-26,288
2020-04-27,312
2020-04-28,426
2020-04-29,380
2020-04-30,561
2020-05-01,414
2020-05-02,586
2020-05-03,155
2020-05-04,184
2020-05-05,404
2020-05-06,502
2020-05-07,639
2020-05-08,471
2020-05-09,492
2020-05-10,404
2020-05-11,281
2020-05-12,301
2020-05-13,470
2020-05-14,691
2020-05-15,622
2020-05-16,853
2020-05-17,530
2020-05-18,511
2020-05-19,577
2020-05-20,422
2020-05-21,738
2020-05-22,758
2020-05-23,1107
2020-05-24,497
2020-05-25,742
2020-05-26,176
2020-05-27,488
2020-05-28,784
2020-05-29,1076
2020-05-30,1185
2020-05-31,916
2020-06-01,674
2020-06-02,626
2020-06-03,888
2020-06-04,1189
2020-06-05,1289
2020-06-06,1370
2020-06-07,921
2020-06-08,938
2020-06-09,676
2020-06-10,1011
2020-06-11,1310
2020-06-12,1768
2020-06-13,1427
2020-06-14,1443
2020-06-15,983
2020-06-16,751
2020-06-17,1002
2020-06-18,1333
2020-06-19,1652
2020-06-20,1549
2020-06-21,1412
2020-06-22,804
2020-06-23,848
2020-06-24,1721
2020-06-25,1009
2020-06-26,1635
2020-06-27,1719
2020-06-28,1605
2020-06-29,1342
2020-06-30,1186
2020-07-01,1843
2020-07-02,1629
2020-07-03,2099
2020-07-04,1413
2020-07-05,1329
2020-07-06,1546
2020-07-07,1346
2020-07-08,1435
2020-07-09,2039
2020-07-10,1982
2020-07-11,2462
2020-07-12,1908
2020-07-13,1827
2020-07-14,1956
2020-07-15,1782
2020-07-16,2160
2020-07-17,2051
2020-07-18,2481
2020-07-19,1820
2020-07-20,1268
